6_51,UGSF762
6_52,UGSF761
6_53,UGSF760
6_54,UGSF759
6_55,UGSF758
6_56,UGSF757
7_1,b123
7_2,UGSF608
7_3,UGSF609
7_4,MPGA12
7_5,UGSF611
7_6,UGSF613
7_7,UGSF615
7_8,UGSF616
7_9,UGSF617
7_10,UGSF618
7_11,UGSF621
7_12,c734
7_13,UGSF622
7_14,UGSF623
7_15,UGSF624
7_16,b142
7_17,UGSF626
7_18,UGSF628
7_19,g271
7_20,UGSF629
7_21,UGSF630
7_22,UGSF632
7_23,UGSF633
7_24,UGSF634
7_25,UGSF638
7_26,UGSF640
7_27,UGSF641
7_28,UGSF642
7_29,UGSF643
7_30,UGSF644
7_31,UGSF645
7_32,UGSF646
7_33,UGSF647
7_34,p59
7_35,UGSF648
7_36,UGSF650
7_37,UGSF651
7_38,c1100
7_39,UGSF654
7_40,UGSF655
7_41,UGSF656
7_42,UGSF657
7_43,UGSF659
7_44,UGSF661
7_45,UGSF662
7_46,UGSF663
7_47,UGSF665
7_48,UGSF666
7_49,UGSF667
7_50,UGSF668
7_51,UGSF779
7_52,b107
7_53,b200
7_54,UGSF778
7_55,UGSF777
7_56,UGSF776
7_57,UGSF775
7_58,b185_1
7_59,c389_2
7_60,UGSF774
7_61,UGSF773
8_1,UGSF504
8_2,UGSF505
8_3,UGSF506
8_4,c389_1
8_5,UGSF507
8_6,UGSF508
8_7,b185_2
8_8,UGSF509
8_9,UGSF510
8_10,UGSF512
8_11,UGSF513
8_12,UGSF514
8_13,r1534
8_14,UGSF517
8_15,UGSF518
8_16,UGSF520
8_17,UGSF522
8_18,p6
8_19,UGSF525
8_20,UGSF526
8_21,UGSF532
8_22,UGSF536
8_23,UGSF540
8_24,UGSF557
8_25,UGSF562
8_26,UGSF564
8_27,UGSF565
8_28,UGSF566
8_29,MPGA45
8_30,UGSF569
8_31,UGSF570
8_32,UGSF571
8_33,UGSF573
8_34,UGSF574
8_35,UGSF575
8_36,UGSF576
8_37,UGSF578
8_38,UGSF579
8_39,UGSF581
8_40,UGSF582
8_41,UGSF584
8_42,UGSF587
8_43,b258
8_44,UGSF588
8_45,UGSF590
8_46,UGSF591
8_47,UGSF595
8_48,UGSF596
8_49,UGSF597
8_50,UGSF598
8_51,c82
8_52,c950
8_53,UGSF600
8_54,MPGA53
8_55,UGSF601
8_56,UGSF602
8_57,UGSF604
9_1,UGSF1
9_2,UGSF3
9_3,UGSF4
9_4,UGSF6
9_5,UGSF7
9_6,UGSF9
9_7,UGSF10
9_8,UGSF11
9_9,b269
9_10,UGSF12
9_11,p44
9_12,UGSF14
9_13,b265
9_14,UGSF15
9_15,UGSF16
9_16,UGSF17
9_17,UGSF19
9_18,p4
9_19,b246
9_20,UGSF23
9_21,UGSF24
9_22,tb1
9_23,UGSF25
9_24,UGSF26
9_25,UGSF27
9_26,UGSF29
9_27,UGSF30
9_28,UGSF31
9_29,MPGD22
9_30,UGSF32
9_31,b187
9_32,UGSF33
9_33,b217
9_34,UGSF35
9_35,UGSF36
